% time	cellId	IMSI	RNTI	layer	mcs	size	rv	ndi	correct	ccId
745	1	0	29	0	28	4587	0	1	1	0
746	1	0	9	0	28	4587	0	1	0	0
746	1	0	64	0	28	4587	0	1	1	0
747	1	0	19	0	28	4587	0	1	0	0
747	1	0	66	0	28	4587	0	1	1	0
749	1	0	11	0	28	9422	0	1	1	0
751	1	0	1	0	28	9422	0	1	1	0
755	1	0	45	0	28	4587	0	1	0	0
755	1	0	49	0	28	4587	0	1	1	0
756	1	0	52	0	28	4587	0	1	0	0
756	1	0	68	0	28	4587	0	1	1	0
757	1	0	28	0	28	3062	0	1	1	0
757	1	0	33	0	28	3062	0	1	0	0
757	1	0	45	0	28	3062	0	1	0	0
758	1	0	16	0	28	4587	0	1	1	0
758	1	0	52	0	28	4587	0	1	0	0
759	1	0	7	0	28	4587	0	1	1	0
759	1	0	33	0	28	4587	0	1	0	0
760	1	0	65	0	28	9422	0	1	1	0
762	1	0	61	0	28	9422	0	1	1	0
764	1	0	42	0	28	4587	0	1	1	0
764	1	0	61	0	28	4587	0	1	0	0
765	1	0	8	0	28	9422	0	1	1	0
766	1	0	32	0	28	9422	0	1	1	0
767	1	0	47	0	28	9422	0	1	1	0
768	1	0	24	0	28	9422	0	1	1	0
769	1	0	12	0	28	9422	0	1	1	0
770	1	0	15	0	28	4587	0	1	1	0
770	1	0	44	0	28	4587	0	1	1	0
772	1	0	15	0	28	4587	0	1	0	0
772	1	0	27	0	28	4587	0	1	1	0
773	1	0	58	0	28	9422	0	1	1	0
774	1	0	59	0	28	9422	0	1	1	0
775	1	0	14	0	28	4587	0	1	1	0
775	1	0	66	0	28	4587	0	1	1	0
776	1	0	11	0	28	9422	0	1	1	0
777	1	0	26	0	28	4587	0	1	1	0
777	1	0	66	0	28	4587	0	1	0	0
778	1	0	63	0	28	9422	0	1	1	0
780	1	0	4	0	28	9422	0	1	1	0
781	1	0	10	0	28	9422	0	1	1	0
783	1	0	29	0	28	9422	0	1	1	0
784	1	0	64	0	28	9422	0	1	1	0
785	1	0	28	0	28	9422	0	1	1	0
786	1	0	9	0	28	9422	0	1	1	0
788	1	0	19	0	28	9422	0	1	1	0
789	1	0	1	0	28	9422	0	1	1	0
790	1	0	46	0	28	9422	0	1	1	0
791	1	0	40	0	28	9422	0	1	1	0
792	1	0	22	0	28	9422	0	1	1	0
793	1	0	49	0	28	9422	0	1	1	0
794	1	0	68	0	28	9422	0	1	1	0
796	1	0	16	0	28	9422	0	1	1	0
